sentence_id,token,label
1,",",O
1,bulunan,O
1,Cizvit,B-ORG
1,koleji,I-ORG
1,döneminin,O
1,en,O
1,iyi,O
1,okuluydu,O
1,.,O
2,1564,B-DATE
2,yılında,I-DATE
2,Ferdinand'ın,B-PERSON
2,ölümü,O
2,üzerine,O
2,imparatorluk,O
2,işlerindeki,O
2,tüm,O
2,yönetimi,O
2,üzerine,O
2,aldı,O
2,.,O
3,1926,B-DATE
3,adaylık,O
3,konusunda,O
3,girişimlerde,O
3,bulunuyor,O
3,.,O
4,Okula,O
4,burada,O
4,başladıktan,O
4,sonra,O
4,Ashley,B-ORG
4,Hall,I-ORG
4,okuluna,I-ORG
4,devam,O
4,etti,O
4,.,O
5,Morin,B-PERSON
5,insanlık,O
5,tarihinin,O
5,ilerleme,O
5,ve,O
5,gerileme,O
5,",",O
5,yenilik,O
5,ve,O
5,yıkıcılık,O
5,çatışkısıyla,O
5,geliştiğini,O
5,ve,O
5,bilimlerin,O
5,gerçekliği,O
5,farklı,O
5,farklı,O
5,taraflara,O
5,çekerek,O
5,",",O
5,sorumluluk,O
5,ve,O
5,dayanışmayı,O
5,yok,O
5,ettiğini,O
5,ileri,O
5,sürer,O
5,.,O
6,Joseph,B-PERSON
6,Kearns,I-PERSON
6,(,O
6,adı,O
6,geçmiyor,O
6,",",O
6,ses,O
6,),O
6,>,O
6,Melek,B-PERSON
6,Joseph,I-PERSON
6,.,O
7,Mayıs,B-DATE
7,Haziran,I-DATE
7,2007,I-DATE
7,yılında,O
7,şirket,O
7,hisselerinin,O
7,si,O
7,ESAS,B-ORG
7,Holding,I-ORG
7,(,O
7,Pegasus,B-ORG
7,Havayollarının,I-ORG
7,da,O
7,sahibi,O
7,),O
7,tarafından,O
7,satın,O
7,alınarak,O
7,yönetim,O
7,değişikliği,O
7,yapıldı,O
7,.,O
8,hava,O
8,keşifleri,O
8,ile,O
8,Alman,B-ORG
8,donanmasının,I-ORG
8,hareketlendiğini,O
8,anlamalarından,O
8,sonra,O
8,20,B-DATE
8,Mayıs,I-DATE
8,günü,I-DATE
8,öğlen,O
8,saatlerinde,O
8,İsveç,B-ORG
8,donanmasına,I-ORG
8,bağlı,O
8,kruvazörünün,O
8,keşif,O
8,uçakları,O
8,tarafından,O
8,yeri,O
8,belirlendi,O
8,.,O
9,Monika,B-PERSON
9,Ertl,I-PERSON
9,",",O
9,Che,B-PERSON
9,Guevara'nın,I-PERSON
9,katledilişinin,O
9,intikamını,O
9,alan,O
9,kişi,O
9,olarak,O
9,bilinir,O
9,.,O
10,Jean,B-PERSON
10,François,I-PERSON
10,Copé'nin,I-PERSON
10,UMP'ye,B-ORG
10,başkan,O
10,seçilmesiyle,O
10,beraber,O
10,bu,O
10,partiden,O
10,istifa,O
10,edip,O
10,",",O
10,UDI'ye,B-ORG
10,kayıt,O
10,olmuştur,O
10,.,O
11,5,B-DATE
11,Ekim,I-DATE
11,2009'da,I-DATE
11,DVD,O
11,",",O
11,listesine,O
11,sıradan,O
11,girdi,O
11,ve,O
11,Delta,B-PERSON
11,Goodrem'in,I-PERSON
11,adlı,O
11,konser,O
11,albümünü,O
11,geride,O
11,bıraktı,O
11,.,O
12,Bulgaristan,B-ORG
12,Millî,I-ORG
12,Takımıyla,I-ORG
12,katıldı,O
12,ve,O
12,Bulgaristan,B-ORG
12,Millî,I-ORG
12,Takımı'nın,I-ORG
12,turnuva'da,O
12,oynadığı,O
12,karşılaşmada,O
12,forma,O
12,giydi,O
12,.,O
13,1936,B-DATE
13,yılında,I-DATE
13,Neuilly,B-PERSON
13,sur,I-PERSON
13,Seine,I-PERSON
13,",",O
13,öldü,O
13,.,O
14,1969'da,B-DATE
14,çektiği,O
14,uzun,O
14,metrajlı,O
14,filmi,O
14,"""",O
14,(,O
14,),O
14,",",O
14,gösterildiğinde,O
14,olumlu,O
14,tepkiler,O
14,almadı,O
14,.,O
15,Almanya,B-ORG
15,Millî,I-ORG
15,Futbol,I-ORG
15,Takımı,I-ORG
15,adına,O
15,oynadığı,O
15,maç,O
15,",",O
15,8,B-DATE
15,Haziran,I-DATE
15,2005,I-DATE
15,tarihinde,O
15,Rusya,B-ORG
15,Millî,I-ORG
15,Futbol,I-ORG
15,Takımı,I-ORG
15,ile,O
15,oynanan,O
15,ve,O
15,biten,O
15,maçtı,O
15,.,O
16,Grup,O
16,bu,O
16,yeni,O
16,albümün,O
16,özel,O
16,bir,O
16,versiyonu,O
16,olan,O
16,Metal,B-ORG
16,Hammer'ın,I-ORG
16,mayıs,O
16,sayısında,O
16,dergiye,O
16,sundu,O
