sentence_id,token,label
1,Orda,O
1,Spike,B-PERSON
1,",",O
1,First'ün,B-PERSON
1,etkisiyle,O
1,Buffy'ye,B-PERSON
1,saldırır,O
1,ve,O
1,insanları,O
1,öldürüp,O
1,buraya,O
1,gömdüğünü,O
1,hatırlar,O
1,.,O
2,11,B-DATE
2,Temmuz,I-DATE
2,1927,I-DATE
2,tarihinde,I-DATE
2,önemli,O
2,ölçüde,O
2,hasar,O
2,gören,O
2,",",O
2,",",O
2,diğer,O
2,ve,O
2,katkıları,O
2,ile,O
2,esaslı,O
2,bir,O
2,şekilde,O
2,tamir,O
2,edildi,O
2,.,O
3,Refrain,B-PERSON
3,Lys,I-PERSON
3,Assia,I-PERSON
3,tarafından,O
3,söylenen,O
3,ve,O
3,yani,O
3,kazanan,O
3,şarkı,O
3,.,O
4,Bosco,B-PERSON
4,",",O
4,eğitimli,O
4,pirelerini,O
4,içinde,O
4,taşıdığı,O
4,bir,O
4,kutuyla,O
4,beraber,O
4,izbe,O
4,bir,O
4,motele,O
4,gelir,O
4,.,O
5,CCTV,B-ORG
5,4,I-ORG
5,",",O
5,ulusal,O
5,televizyon,O
5,kanalıdır,O
5,.,O
6,Common,B-PERSON
6,",",O
6,Barnes,B-PERSON
6,rolünde,O
6,:,O
6,Bir,O
6,direniş,O
6,askeri,O
6,ve,O
6,John'un,B-PERSON
6,.,O
7,",",O
7,bulunan,O
7,Cizvit,B-ORG
7,koleji,I-ORG
7,döneminin,O
7,en,O
7,iyi,O
7,okuluydu,O
7,.,O
8,Fransa,B-ORG
8,milli,I-ORG
8,basketbol,I-ORG
8,takımındada,I-ORG
8,devamlı,O
8,forma,O
8,giyen,O
8,ve,O
8,zaman,O
8,zaman,O
8,ortaya,O
8,koyduğu,O
8,performansla,O
8,övgü,O
8,alan,O
8,Gelabale,B-PERSON
8,milli,O
8,takımda,O
8,kez,O
8,çağrıldığı,O
8,takımıylan,O
8,beraber,O
8,bronz,O
8,madalya,O
8,kazanma,O
8,başarısı,O
8,gösterdi,O
8,.,O
9,1564,B-DATE
9,yılında,I-DATE
9,Ferdinand'ın,B-PERSON
9,ölümü,O
9,üzerine,O
9,imparatorluk,O
9,işlerindeki,O
9,tüm,O
9,yönetimi,O
9,üzerine,O
9,aldı,O
9,.,O
10,1926,B-DATE
10,adaylık,O
10,konusunda,O
10,girişimlerde,O
10,bulunuyor,O
10,.,O
11,Okula,O
11,burada,O
11,başladıktan,O
11,sonra,O
11,Ashley,B-ORG
11,Hall,I-ORG
11,okuluna,I-ORG
11,devam,O
11,etti,O
11,.,O
12,1972,B-DATE
12,"""",I-DATE
12,de,I-DATE
12,çevrilen,O
12,ise,O
12,idi,O
12,",",O
12,ama,O
12,gibi,O
12,canlı,O
12,oyuncularla,O
12,çekilmedi,O
12,.,O
13,Morin,B-PERSON
13,insanlık,O
13,tarihinin,O
13,ilerleme,O
13,ve,O
13,gerileme,O
13,",",O
13,yenilik,O
13,ve,O
13,yıkıcılık,O
13,çatışkısıyla,O
13,geliştiğini,O
13,ve,O
13,bilimlerin,O
13,gerçekliği,O
13,farklı,O
13,farklı,O
13,taraflara,O
13,çekerek,O
13,",",O
13,sorumluluk,O
13,ve,O
13,dayanışmayı,O
13,yok,O
13,ettiğini,O
13,ileri,O
13,sürer,O
13,.,O
14,Thomas,B-PERSON
14,Addison'un,I-PERSON
14,1855'te,B-DATE
14,tanımladığı,O
14,Addison,O
14,hastalığı,O
14,",",O
14,böbreküstü,O
14,bezlerinin,O
14,kabuk,O
14,korteks,O
14,bölümünün,O
14,",",O
14,otoimmün,O
14,",",O
14,verem,O
14,ya,O
14,da,O
14,mantar,O
14,enfeksiyonu,O
14,nedeniyle,O
14,zarar,O
14,görmesine,O
14,bağlıdır,O
14,.,O
15,Michael,B-PERSON
15,Finley,I-PERSON
15,takıma,O
15,dahil,O
15,oldu,O
15,",",O
15,Don,B-PERSON
15,Nelson,I-PERSON
15,da,O
15,takıma,O
15,oldu,O
15,.,O
16,Tarihindeki,O
16,en,O
16,kötü,O
16,sezon,O
16,sonucu,O
16,ise,O
16,Seattle,B-ORG
16,SuperSonics'in,I-ORG
16,kapanış,O
16,yani,O
16,final,O
16,yılı,O
16,olan,O
16,2007,B-DATE
16,08'de,I-DATE
16,galibiyet,O
16,mağlubiyet,O
16,aldığı,O
16,sezondur,O
16,.,O
17,Aydemir,B-PERSON
17,Güler,I-PERSON
17,",",O
17,Türkiye,B-ORG
17,Komünist,I-ORG
17,Partisi'nin,I-ORG
17,.,O
18,Joseph,B-PERSON
18,Kearns,I-PERSON
18,(,O
18,adı,O
18,geçmiyor,O
18,",",O
18,ses,O
18,),O
18,>,O
18,Melek,B-PERSON
18,Joseph,I-PERSON
18,.,O
19,ve,O
19,bir,O
19,olan,O
19,Napier,B-PERSON
19,",",O
19,logaritmanın,O
19,bulucusu,O
19,olarak,O
19,bilinir,O
19,.,O
20,Mayıs,B-DATE
20,Haziran,I-DATE
20,2007,I-DATE
20,yılında,O
20,şirket,O
20,hisselerinin,O
20,si,O
20,ESAS,B-ORG
20,Holding,I-ORG
20,(,O
20,Pegasus,B-ORG
20,Havayollarının,I-ORG
20,da,O
20,sahibi,O
20,),O
20,tarafından,O
20,satın,O
20,alınarak,O
20,yönetim,O
20,değişikliği,O
20,yapıldı,O
20,.,O
21,1978,B-DATE
21,yılında,I-DATE
21,mezun,O
21,olduktan,O
21,sonra,O
21,Kanada,B-ORG
21,Silahlı,I-ORG
21,Kuvvetleri'ne,I-ORG
21,katıldı,O
21,ve,O
21,1982,B-DATE
